seed,iteration,component,mean
0,1,progress_reward,0.016123
0,1,soft_landing_proxy,0.000986
0,1,stability_penalty,-0.014204
0,2,progress_reward,0.004143
0,2,soft_landing_proxy,0.214469
0,2,stability_penalty,-0.000493
0,3,progress_reward,0.045813
0,3,soft_landing_proxy,0.220512
0,3,stability_penalty,-0.000613
0,4,progress_reward,0.045367
0,4,soft_landing_proxy,0.077214
0,4,stability_penalty,-0.000628
0,5,progress_reward,0.044699
0,5,soft_landing_proxy,0.206022
0,5,stability_penalty,-0.000622
0,6,progress_reward,0.004143
0,6,soft_landing_proxy,0.214469
0,6,stability_penalty,-0.000493
0,7,progress_reward,0.003727
0,7,soft_landing_proxy,0.046488
0,7,stability_penalty,-0.000463
0,8,progress_reward,0.003713
0,8,soft_landing_proxy,0.025532
0,8,stability_penalty,-0.000481
0,9,progress_reward,0.003376
0,9,soft_landing_proxy,0.017953
0,9,stability_penalty,-0.000432
0,10,progress_reward,0.085492
0,10,soft_landing_proxy,1e-06
0,10,stability_penalty,-0.002169
1,1,progress,0.01615
1,1,soft_proxy,0.000765
1,1,stability_penalty,-0.010929
1,2,progress,0.00396
1,2,soft_proxy,0.105971
1,2,stability_penalty,-0.000352
1,3,progress,0.01488
1,3,soft_proxy,1.5e-05
1,3,stability_penalty,-0.001228
2,1,distance_penalty,-0.04859
2,1,progress_delta_reward,0.016073
2,1,soft_landing_bonus,0.000532
2,1,stability_penalty,-0.081839
2,2,distance_penalty,-0.004847
2,2,progress_delta_reward,0.015859
2,2,soft_landing_bonus,0.008602
2,2,stability_penalty,-0.008694
2,3,approach_bonus,2.711457
2,3,distance_penalty,-0.002674
2,3,progress_delta_reward,0.001711
2,3,stability_penalty,-0.00531
2,4,approach_bonus,0.005273
2,4,distance_penalty,-0.004485
2,4,progress_delta_reward,0.013351
2,4,stability_penalty,-0.007391
2,5,approach_bonus,0.008636
2,5,distance_penalty,-0.004836
2,5,progress_delta_reward,0.015748
2,5,stability_penalty,-0.008421
2,6,approach_bonus,3.129153
2,6,distance_penalty,-0.002498
2,6,progress_delta_reward,0.001826
2,6,stability_penalty,-0.006539
2,7,potential_shaping,0.020808
2,7,soft_landing_proxy,0.009501
2,7,stability_penalty,-0.031485
2,8,potential_shaping,0.004915
2,8,soft_landing_proxy,0.916506
2,8,stability_penalty,-0.015382
2,9,landing_quality,0.318642
2,9,progress_signal,1.186551
2,9,proximity,0.461166
2,9,quality_signal,0.2041
2,9,stability_penalty,-0.002367
2,10,landing_quality,0.575554
2,10,progress_signal,1.240944
2,10,proximity,0.481639
2,10,quality_signal,0.244445
2,10,stability_penalty,-0.002659
3,1,progress_delta,0.016159
3,1,stability_penalty,-0.013722
3,2,progress_delta,0.014528
3,2,stability_penalty,-0.001433
3,3,progress_delta,0.014126
3,3,stability_penalty,-0.007117
3,4,angle_reduction,-8.4e-05
3,4,angvel_reduction,-0.000102
3,4,progress_delta,0.004144
3,4,speed_reduction,2.9e-05
3,5,angle_reduction,-2.4e-05
3,5,angvel_reduction,-2.4e-05
3,5,landing_incentive,0.297907
3,5,progress_delta,0.0019
3,5,speed_reduction,2.1e-05
3,6,angle_reduction,-2.2e-05
3,6,angvel_reduction,-2.9e-05
3,6,landing_incentive,0.508266
3,6,progress_delta,0.002152
3,6,speed_reduction,3.2e-05
3,7,landing_incentive,0.428239
3,7,potential_reward,0.002288
3,8,angle_reduction,-2.7e-05
3,8,angvel_reduction,-3.7e-05
3,8,landing_incentive,0.3922
3,8,progress_delta,0.00232
3,8,speed_reduction,2.9e-05
4,1,progress,0.016054
4,1,soft_landing_proxy,0.000777
4,1,stability_penalty,-0.057148
4,2,progress,0.01606
4,2,soft_landing_proxy,0.000751
4,2,stability_penalty,-0.005795
4,4,potential_shaping_reward,0.025789
4,4,stability_penalty,-0.067973
4,5,shaping_reward,0.014089
4,5,stability_penalty,-0.006081
4,6,shaping_reward,0.047212
4,7,shaping_reward,0.047212
4,8,shaping_reward,0.047212
5,1,landing_proxy,0.004575
5,1,progress_reward,0.016142
5,1,stability_penalty,-0.011355
5,2,landing_proxy,0.00493
5,2,progress_reward,0.015997
5,2,stability_penalty,-0.011363
5,3,dist_gate,0.526483
5,3,landing_proxy,0.447489
5,3,progress_reward,0.003122
5,3,stability_penalty,-0.001045
5,4,dist_gate,0.530557
5,4,landing_proxy,0.462081
5,4,progress_reward,0.019084
5,4,stability_penalty,-0.001271
6,1,progress_delta_reward,0.01615
6,1,soft_landing_proxy,0.000404
6,1,stability_penalty,-0.014589
6,2,progress_delta_reward,0.002529
6,2,soft_landing_proxy,0.061126
6,2,stability_penalty,-0.000559
6,3,progress_delta_reward,0.002685
6,3,soft_landing_proxy,0.062194
6,3,stability_penalty,-0.000553
6,4,progress_delta_reward,0.01619
6,4,soft_landing_proxy,0.001381
6,4,stability_penalty,-0.001489
6,5,progress_delta_reward,0.0028
6,5,soft_landing_proxy,0.20586
6,5,stability_penalty,-0.000707
6,6,progress_delta_reward,0.016634
6,6,soft_landing_proxy,0.206669
6,6,stability_penalty,-0.00087
