iter,score,mean_episode_length,terminated,truncated,num_components,crate_settling_and_alignment__share,crate_settling_and_alignment__active_rate,crate_to_dock_progress__share,crate_to_dock_progress__active_rate,fragile_impact_penalty__share,fragile_impact_penalty__active_rate,out_of_bounds_penalty__share,out_of_bounds_penalty__active_rate,boundary_health_penalty__share,boundary_health_penalty__active_rate,joint_dock_completion__share,joint_dock_completion__active_rate,dock_approach_improvement__share,dock_approach_improvement__active_rate,dock_completion_state__share,dock_completion_state__active_rate,local_obstacle_penalty__share,local_obstacle_penalty__active_rate,crate_speed_hinge__share,crate_speed_hinge__active_rate,dock_completion_joint__share,dock_completion_joint__active_rate,dock_progress_delta__share,dock_progress_delta__active_rate,joint_completion_gate__share,joint_completion_gate__active_rate
iter_01,-2.263,400,0,20,4,0.9969,1.0,0.0,0.0016,0.0001,0.0001,0.0031,0.0147,,,,,,,,,,,,,,,,,,
iter_02,1.6138,400,0,20,4,0.9591,0.6317,0.0347,0.4216,0.0024,0.0034,0.0038,0.0028,,,,,,,,,,,,,,,,,,
iter_03,3.8614,400,0,20,4,0.6999,0.3862,0.2605,0.3436,0.0186,0.0042,0.021,0.0027,,,,,,,,,,,,,,,,,,
iter_04,-1.535,400,0,20,4,,,0.0,0.0022,0.0,0.0002,,,0.0016,0.0156,0.9983,1.0,,,,,,,,,,,,,,
iter_05,-1.687,400,0,20,4,,,,,0.0002,0.0002,,,0.0036,0.0084,,,0.0,0.0031,0.9962,1.0,,,,,,,,,,
iter_06,-6.736,399,1,19,4,,,,,0.0003,0.0001,,,0.0074,0.0068,0.9923,1.0,0.0001,0.0015,,,,,,,,,,,,
iter_07,-6.0591,386.6,1,19,4,,,0.0003,0.0022,0.0004,0.0001,,,,,0.9983,1.0,,,,,0.001,0.0005,,,,,,,,
iter_08,3.5082,400,0,20,4,,,0.6825,0.4494,0.0016,0.0006,,,,,0.3149,1.0,,,,,0.001,0.0021,,,,,,,,
iter_09,-1.9392,400,0,20,4,,,0.0,0.0022,0.0,0.0001,,,,,,,,,,,,,0.0,0.0001,1.0,1.0,,,,
iter_10,4.8639,400,0,20,5,,,,,0.0438,0.09,,,,,,,,,,,0.0164,0.0177,0.0074,0.0128,,,0.8131,0.8068,0.1193,0.8005
