generation,candidate,idx,kind,parent,native_score
0,g00c00,0,initial_sample,,-102.2409
0,g00c01,1,initial_sample,,-1.8634
0,g00c02,2,initial_sample,,-7.0081
0,g00c03,3,initial_sample,,-2.4734
1,g01e00,0,elite_carried,g00c01,-1.8634
1,g01e01,1,elite_carried,g00c03,-2.4734
1,g01c02,2,child_edit,g00c01,-1.3397
1,g01c03,3,child_edit,g00c03,3.55
2,g02e00,0,elite_carried,g01c03,3.55
2,g02e01,1,elite_carried,g01c02,-1.3397
2,g02c02,2,child_edit,g01c03,3.3769
2,g02c03,3,child_edit,g01c02,5.1258
3,g03e00,0,elite_carried,g02c03,5.1258
3,g03e01,1,elite_carried,g02e00,3.55
3,g03c02,2,child_edit,g02c03,3.4548
3,g03c03,3,child_edit,g02e00,2.4186
