environment,seed,iteration,score
LunarLander-v3,0,1,-70.35367636325427
LunarLander-v3,0,2,-129.324841533804
LunarLander-v3,0,3,-26.298514976883364
LunarLander-v3,0,4,-120.26549515621325
LunarLander-v3,0,5,-123.86389343493366
LunarLander-v3,0,6,-18.279889090169373
LunarLander-v3,0,7,-388.6718714271305
LunarLander-v3,0,8,224.20887631076044
LunarLander-v3,0,9,-611.7641800925197
LunarLander-v3,1,1,-42.73539638777156
LunarLander-v3,1,2,-17.878809608976
LunarLander-v3,1,3,27.716997759682357
LunarLander-v3,1,4,-29.475926493011578
LunarLander-v3,1,5,120.01910001996151
LunarLander-v3,1,6,-16.869740843644056
LunarLander-v3,1,7,24.338936421422332
LunarLander-v3,1,8,-31.051550437674084
LunarLander-v3,1,9,168.3393422135158
LunarLander-v3,1,10,240.60290701082337
LunarLander-v3,2,1,-17.897086696499734
LunarLander-v3,2,2,220.24200024367673
LunarLander-v3,2,3,107.1445445248514
LunarLander-v3,3,1,-19.587336508788102
LunarLander-v3,3,2,147.7093032258377
LunarLander-v3,3,3,-15.416144177905542
LunarLander-v3,3,4,253.7068333419911
LunarLander-v3,3,5,249.34234151142402
LunarLander-v3,3,6,247.20666143345457
LunarLander-v3,4,1,139.52572526507595
LunarLander-v3,4,2,114.49926762940962
LunarLander-v3,4,3,206.13556021005235
LunarLander-v3,4,4,206.13556021005235
LunarLander-v3,4,5,110.16882565653347
BipedalWalker-v3,0,1,270.71377030226967
BipedalWalker-v3,0,2,318.31815132431313
BipedalWalker-v3,0,3,305.31094958505355
BipedalWalker-v3,0,4,320.0204030658189
BipedalWalker-v3,1,1,280.5001837574677
BipedalWalker-v3,1,2,313.4607243515171
BipedalWalker-v3,1,3,313.7305939945505
BipedalWalker-v3,1,4,294.4353031500782
BipedalWalker-v3,2,1,272.072088629938
BipedalWalker-v3,2,2,307.91735923071144
BipedalWalker-v3,2,3,281.78107674641865
BipedalWalker-v3,3,1,289.98732504782697
BipedalWalker-v3,3,2,311.1235479918302
BipedalWalker-v3,3,3,268.707813119931
BipedalWalker-v3,4,1,103.02723190381354
BipedalWalker-v3,4,2,264.3851196231948
BipedalWalker-v3,4,3,304.92495813051283
BipedalWalker-v3,4,4,291.4081068948299
