environment,seed,initial,best,first_solved,evaluations
LunarLander-v3,0,-70.35367636325427,224.20887631076044,8,9
LunarLander-v3,1,-42.73539638777156,240.60290701082337,10,10
LunarLander-v3,2,-17.897086696499734,220.24200024367676,2,3
LunarLander-v3,3,-19.587336508788106,253.7068333419911,4,6
LunarLander-v3,4,139.52572526507595,206.13556021005235,3,5
BipedalWalker-v3,0,270.71377030226967,320.0204030658189,2,4
BipedalWalker-v3,1,280.5001837574677,313.7305939945505,2,4
BipedalWalker-v3,2,272.072088629938,307.91735923071144,2,3
BipedalWalker-v3,3,289.98732504782697,311.1235479918302,2,3
BipedalWalker-v3,4,103.02723190381354,304.92495813051283,3,4
