#{"t_start": 1783434978.085616, "env_id": "LunarLander-v3"}
r,l,t
-146.329259,94,2.47308
-284.714802,112,2.693052
-319.881891,81,2.872318
-3.46059,109,3.101884
-313.182987,101,3.307883
-121.539656,72,3.44818
-166.667263,102,3.646611
-106.455801,64,3.763281
-70.777313,79,3.900677
-365.572902,92,4.079858
-250.828974,75,4.244906
-231.926056,125,5.984887
-80.642416,109,6.210849
-350.879457,128,6.460239
-194.024343,67,6.589314
-206.855949,115,6.826898
-27.64505,73,6.982031
-212.426197,80,7.132303
-145.412013,82,7.28951
-250.625246,90,7.467632
-104.093227,74,7.598245
-96.164103,69,7.732572
-349.094312,90,9.375435
-17.341651,123,9.601342
-71.08933,71,9.738084
-95.485191,79,9.907174
-102.051171,120,10.131315
-143.581186,84,10.329255
-140.558339,82,10.479286
-171.384842,108,10.674336
-92.26483,113,10.89556
-83.620572,67,11.028043
-100.783903,100,11.200457
-198.877954,128,13.074993
-200.373614,93,13.25073
-73.021358,76,13.386825
-107.713947,74,13.511557
-70.464969,71,13.658084
-120.118853,111,13.876206
-85.549143,69,14.00018
-120.498442,104,14.194969
-102.920868,84,14.367682
-30.927421,121,14.576688
-150.797104,68,14.706546
-71.999124,58,14.807323
-123.947028,61,16.580516
-87.963286,63,16.707814
-81.132369,89,16.882973
-111.932656,86,17.045528
-132.218479,86,17.191241
-198.432135,102,17.390939
-119.213479,119,17.678337
-132.357503,110,17.882476
-79.861622,78,18.026355
-137.513563,103,18.228664
-165.50506,136,18.484222
-83.704948,89,20.158271
-284.882542,114,20.371071
-88.628469,74,20.518484
-113.113602,74,20.658064
-35.019061,72,20.795444
-117.287526,87,20.954841
-240.804307,118,21.180589
-190.136038,123,21.412364
-124.905796,113,21.618816
-287.198332,123,21.882295
-41.310727,61,23.523719
-175.393481,155,23.801694
-78.150048,73,23.94688
-88.650304,103,24.131788
-67.328275,81,24.27924
-379.098167,131,24.529884
-95.639919,84,24.6709
-275.107257,104,24.864019
-67.906557,80,25.017016
-78.807668,67,25.134228
-90.287557,84,25.289904
-111.343295,132,27.001525
-54.589697,145,27.263998
-154.105969,111,27.469739
-86.340153,133,27.719612
-63.838399,85,27.880857
-61.3549,107,28.077911
-45.623928,120,28.400372
-143.617524,96,28.675779
-3.503066,132,29.064824
-137.918879,112,31.489501
-73.182716,158,31.835172
-80.329258,86,32.029778
-126.242838,166,32.432055
-186.404415,125,32.806461
-174.674833,108,33.071842
-115.338431,77,33.273016
-182.351161,123,33.825614
-68.057823,92,36.713712
-129.736354,104,37.078407
-106.714889,108,37.344384
-128.410996,82,37.582308
-52.67659,114,37.821732
-124.0602,114,38.047364
-155.129059,100,38.283729
-82.519268,71,38.427999
-98.361206,102,38.658535
-66.205916,105,38.890018
-0.164256,168,41.317884
-49.620506,73,41.454394
-77.484733,78,41.608247
-85.614268,94,41.858763
-148.601068,118,42.240342
26.921825,113,42.477196
-52.255134,82,42.647966
-114.33558,95,42.84188
-83.156915,108,43.038325
-127.995274,89,43.205739
-205.809518,121,45.032029
-72.171386,133,45.301053
-51.287254,131,45.569213
-58.57169,100,45.798285
-38.775778,89,45.967705
-25.445113,145,46.253153
-24.569444,138,46.530002
-62.14568,100,46.698571
-120.256956,115,46.914253
-117.170294,91,48.863513
-110.666878,126,49.156512
-21.219629,114,49.412359
-36.071665,103,49.638143
-106.87338,104,49.849629
-42.71476,130,50.152854
-101.162892,103,50.34008
-88.529787,127,50.586333
-48.349511,107,50.77907
-4.381417,99,52.771274
0.533331,142,53.141613
-87.251438,79,53.284539
-51.73723,163,53.574933
-25.143045,110,53.77641
-40.569916,100,53.951449
6.236584,155,54.233349
