episode,seed,original_return,generated_return,length,terminated,truncated,component.dist_gate,component.landing_proxy,component.progress_reward,component.stability_penalty,behavior.both_contact_rate,behavior.final_abs_angle,behavior.final_distance,behavior.final_speed,behavior.left_contact_rate,behavior.outcome,behavior.right_contact_rate,behavior.source,behavior.termination_reason
0,10005,123.21968659514981,738.4667426213142,1000,False,True,702.3321644903262,731.8833026674597,6.870445265942655,-0.28700531208644753,0.777,4.15458925999701e-05,0.039505476213175655,0.004126699641651537,0.777,timeout,0.777,derived_from_declared_observation_and_action,unknown
1,10006,158.44617182676092,774.9016182624364,1000,False,True,772.7435676231056,768.3545697712926,6.945480547620394,-0.3984320564747073,0.795,0.001973231788724661,0.026653407196518097,0.0033025087189790005,0.795,timeout,0.798,derived_from_declared_observation_and_action,unknown
2,10007,135.38650259542158,234.6725341738303,1000,False,True,632.9326851744555,228.50768148525998,6.652405362741778,-0.4875526741715557,0.042,0.0032110880129039288,0.08748232762651445,0.013047419951242204,0.475,timeout,0.044,derived_from_declared_observation_and_action,unknown
3,10008,120.54244751470027,750.5271554075848,1000,False,True,769.860411867578,743.926938321563,6.9224489860907985,-0.32223190006828034,0.768,9.067522114492022e-06,0.02980157169890443,0.003531594798053724,0.77,timeout,0.768,derived_from_declared_observation_and_action,unknown
4,10009,167.9715859299075,774.1522781181327,1000,False,True,761.616009739859,767.6827975566001,6.916165051847968,-0.44668449031444324,0.8,0.0005890960455872118,0.030848442180920244,0.0036593439839437657,0.8,timeout,0.804,derived_from_declared_observation_and_action,unknown
5,10010,183.58052089952884,791.1302474099635,1000,False,True,794.8458557103052,784.7217788131552,6.83928490968224,-0.4308163128733215,0.815,0.0014090623008087277,0.03188148931703865,0.003070235020509406,0.815,timeout,0.818,derived_from_declared_observation_and_action,unknown
6,10011,167.79590854821123,783.9916997780954,1000,False,True,783.5482874665721,777.4984468254645,6.853233831191349,-0.35998087856119193,0.806,0.00204105325974524,0.0331962570216487,0.0029447851967136043,0.806,timeout,0.807,derived_from_declared_observation_and_action,unknown
7,10012,162.47088009760867,771.3209965634841,1000,False,True,751.4193789807059,764.8349337177032,6.897208131959459,-0.41114528617762447,0.803,0.003964587114751339,0.03171416661427952,0.004137399936842544,0.803,timeout,0.806,derived_from_declared_observation_and_action,unknown
8,10013,173.01723695439628,750.6137513681317,1000,False,True,750.8616275798579,744.2430462967742,6.866937235835475,-0.4962321644779295,0.78,0.004158786032348871,0.037472895256819426,0.003496435942210349,0.781,timeout,0.78,derived_from_declared_observation_and_action,unknown
9,10014,143.63184383516617,774.9522947953203,1000,False,True,774.7239098954333,768.4536146487593,6.876736519347247,-0.37805637278560295,0.803,0.002045624889433384,0.02911890383153354,0.0035766439191551314,0.803,timeout,0.806,derived_from_declared_observation_and_action,unknown
10,10015,125.86650146355159,739.5431499889818,1000,False,True,710.9254920325587,732.9322289568546,6.895708663811262,-0.2847876316828402,0.774,0.0003119581670034677,0.03864134611356935,0.005381374249412786,0.774,timeout,0.775,derived_from_declared_observation_and_action,unknown
11,10016,118.16110917863632,760.0307637651888,1000,False,True,718.8417095766316,753.5156350341144,6.815193293408985,-0.3000645623333349,0.799,0.0018266687402501702,0.042945954652110575,0.002871707970957649,0.799,timeout,0.802,derived_from_declared_observation_and_action,unknown
12,10017,155.0165297595604,750.5814504007291,1000,False,True,718.6508392196936,744.0884630999149,6.81149544836085,-0.318508147547025,0.787,6.353478966047987e-05,0.039439999521500624,0.0038154720981327986,0.787,timeout,0.788,derived_from_declared_observation_and_action,unknown
13,10018,142.71349122894264,769.9832482325531,1000,False,True,759.1210628097972,763.4577028621295,6.816770757482085,-0.29122538705792894,0.8,0.004044618457555771,0.037268120911020976,0.003751208991926773,0.8,timeout,0.8,derived_from_declared_observation_and_action,unknown
14,10019,123.04614494403444,764.4536165765638,1000,False,True,757.7774155915208,757.8565943767156,6.895590414059758,-0.29856821421153557,0.793,0.004323568660765886,0.031003997850937378,0.0026589381379295046,0.793,timeout,0.794,derived_from_declared_observation_and_action,unknown
15,10020,151.95098458445307,495.67264336224093,1000,False,True,570.0298624352868,489.5357702507931,6.494932105283104,-0.35805899383625817,0.346,0.0013392994878813624,0.11270778055310174,0.0031595407639900142,0.346,timeout,0.774,derived_from_declared_observation_and_action,unknown
16,10021,177.50681721199834,794.8559730832955,1000,False,True,782.3615182058725,788.4018425269088,6.8715687922432585,-0.41743823585538303,0.816,0.0008094180375337601,0.03133949147750823,0.0036963189419747166,0.816,timeout,0.818,derived_from_declared_observation_and_action,unknown
17,10022,132.63945361151417,740.4517373459679,1000,False,True,743.2704372070212,733.7882781659213,6.953107737312671,-0.2896485572664897,0.768,0.005621191114187241,0.02849261597276691,0.003949762401511693,0.77,timeout,0.768,derived_from_declared_observation_and_action,unknown
18,10023,116.34372094285358,746.287477923839,1000,False,True,737.6817551555307,739.6523920600939,6.902835225836856,-0.2677493620915039,0.774,0.0022980726789683104,0.03472549704386328,0.0029296571281927897,0.775,timeout,0.774,derived_from_declared_observation_and_action,unknown
19,10024,170.9848059828751,758.1005074249866,1000,False,True,767.3742358814126,751.6447626440671,6.870881322120273,-0.4151365412022617,0.779,0.00017451599705964327,0.03206914347765319,0.0027835782875721814,0.782,timeout,0.779,derived_from_declared_observation_and_action,unknown
