episode,seed,original_return,generated_return,length,terminated,truncated,component.angle_penalty,component.angular_vel_penalty,component.distance_reward,component.energy_penalty,component.time_penalty,behavior.both_contact_rate,behavior.final_abs_angle,behavior.final_distance,behavior.final_speed,behavior.left_contact_rate,behavior.outcome,behavior.right_contact_rate,behavior.source,behavior.termination_reason
0,10007,-108.46072830712629,-96.15028557066867,81,True,False,-1.3862937127705663,-6.336064643692225,-87.4179272142059,-0.2,-0.8100000000000005,0.012345679012345678,0.28240060806274414,0.38609160175419754,0.9615636262445035,0.037037037037037035,terminated_unclassified,0.012345679012345678,derived_from_declared_observation_and_action,unknown
1,10008,-119.79091111306334,-77.30105499799569,76,True,False,-2.154243691271404,-1.0277380971856473,-73.3090732095387,-0.05,-0.7600000000000005,0.013157894736842105,0.00018421877757646143,0.17661046339773148,0.04354748518198047,0.013157894736842105,terminated_unclassified,0.02631578947368421,derived_from_declared_observation_and_action,unknown
2,10009,-107.96626603261143,-80.04931941717733,74,True,False,-1.0754324849622208,-1.0231492601458285,-77.01073767206925,-0.2,-0.7400000000000004,0.02702702702702703,0.06691613048315048,0.4764487032756492,0.16441636435182483,0.02702702702702703,terminated_unclassified,0.02702702702702703,derived_from_declared_observation_and_action,unknown
3,10010,-95.05909309317079,-47.573612184201764,52,True,False,-0.7709918417967856,-0.6156805435714148,-45.46693979883357,-0.2,-0.5200000000000002,0.019230769230769232,0.24396011233329773,0.35139499504114186,5.1343250857755444e-08,0.019230769230769232,terminated_unclassified,0.038461538461538464,derived_from_declared_observation_and_action,unknown
4,10011,-98.05724253030002,-57.60541449051615,60,True,False,-2.468294521793723,-1.4120625760406256,-52.92505739268181,-0.2,-0.6000000000000003,0.03333333333333333,0.13846629858016968,0.37348706896007755,0.05911494165184625,0.03333333333333333,terminated_unclassified,0.03333333333333333,derived_from_declared_observation_and_action,unknown
5,10012,-123.23428525754008,-74.72980690412743,67,True,False,-0.931944505602587,-5.278039945289493,-67.64982245323537,-0.2,-0.6700000000000004,0.0,0.04187246412038803,0.42567784330838004,0.8378873355842464,0.014925373134328358,terminated_unclassified,0.0,derived_from_declared_observation_and_action,unknown
6,10013,-119.12299383732588,-79.40501765651267,69,True,False,-2.118639759719372,-6.499189349473454,-69.79718854731986,-0.3,-0.6900000000000004,0.0,0.2908976078033447,0.5355528336348961,1.6276910586302973,0.0,terminated_unclassified,0.043478260869565216,derived_from_declared_observation_and_action,unknown
7,10014,-103.79102505005059,-54.229656489408804,60,True,False,-0.4642944154329598,-1.4901141726295464,-51.575247901346245,-0.1,-0.6000000000000003,0.03333333333333333,0.0709247812628746,0.2102729519156866,0.31632922167207106,0.03333333333333333,terminated_unclassified,0.03333333333333333,derived_from_declared_observation_and_action,unknown
8,10015,-103.47875895363543,-85.98634975285519,82,True,False,-1.3660136144753778,-0.7141510454006266,-83.03618509297915,-0.05,-0.8200000000000005,0.012195121951219513,0.0003151486744172871,0.09431663470397351,0.02787989005466432,0.024390243902439025,terminated_unclassified,0.012195121951219513,derived_from_declared_observation_and_action,unknown
9,10016,-111.80662566871285,-56.283827966417725,62,True,False,-1.7052411768818274,-1.0640805230592392,-52.89450626647665,0.0,-0.6200000000000003,0.03225806451612903,0.0002501060953363776,0.06470609961277955,3.6920661138876344e-05,0.03225806451612903,terminated_unclassified,0.03225806451612903,derived_from_declared_observation_and_action,unknown
